Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A18002_001,SE_A18002_002,SE_A18002_003,SE_A18002_004,SE_A18002_005,SE_A18002_006,PCT_SE_A18002_002,PCT_SE_A18002_003,PCT_SE_A18002_004,PCT_SE_A18002_005,PCT_SE_A18002_006
36061017900,Census Tract 179,"Census Tract 179, New York County, New York",ny,140,0,ACSSF,5969,,,,,36,61,,,,17900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061017900,,,213916,191036,3114,330,1228,552,767,237,10.6,39.43,17.73,24.63,7.61
36061018000,Census Tract 180,"Census Tract 180, New York County, New York",ny,140,0,ACSSF,5970,,,,,36,61,,,,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061018000,,,212522,0,3066,80,1562,620,655,149,2.61,50.95,20.22,21.36,4.86
36061018100,Census Tract 181,"Census Tract 181, New York County, New York",ny,140,0,ACSSF,5971,,,,,36,61,,,,18100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061018100,,,138455,0,2989,660,1195,396,660,78,22.08,39.98,13.25,22.08,2.61
36061018200,Census Tract 182,"Census Tract 182, New York County, New York",ny,140,0,ACSSF,5972,,,,,36,61,,,,18200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061018200,,,176900,0,2924,153,1326,819,533,93,5.23,45.35,28.01,18.23,3.18
36061018300,Census Tract 183,"Census Tract 183, New York County, New York",ny,140,0,ACSSF,5973,,,,,36,61,,,,18300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061018300,,,224312,187898,2731,185,1068,588,835,55,6.77,39.11,21.53,30.57,2.01
36061018400,Census Tract 184,"Census Tract 184, New York County, New York",ny,140,0,ACSSF,5974,,,,,36,61,,,,18400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061018400,,,176580,0,2901,151,1112,831,731,76,5.21,38.33,28.65,25.2,2.62
36061018500,Census Tract 185,"Census Tract 185, New York County, New York",ny,140,0,ACSSF,5975,,,,,36,61,,,,18500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061018500,,,130383,0,1705,196,754,387,335,33,11.5,44.22,22.7,19.65,1.94
36061018600,Census Tract 186,"Census Tract 186, New York County, New York",ny,140,0,ACSSF,5976,,,,,36,61,,,,18600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061018600,,,121738,0,2063,290,866,565,321,21,14.06,41.98,27.39,15.56,1.02
36061018700,Census Tract 187,"Census Tract 187, New York County, New York",ny,140,0,ACSSF,5977,,,,,36,61,,,,18700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061018700,,,218107,184467,2808,638,1002,617,525,26,22.72,35.68,21.97,18.7,0.93
36061018800,Census Tract 188,"Census Tract 188, New York County, New York",ny,140,0,ACSSF,5978,,,,,36,61,,,,18800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061018800,,,148532,0,2121,67,985,511,450,108,3.16,46.44,24.09,21.22,5.09
36061018900,Census Tract 189,"Census Tract 189, New York County, New York",ny,140,0,ACSSF,5979,,,,,36,61,,,,18900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061018900,,,265399,0,4117,236,1843,1043,848,147,5.73,44.77,25.33,20.6,3.57
36061019000,Census Tract 190,"Census Tract 190, New York County, New York",ny,140,0,ACSSF,5980,,,,,36,61,,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061019000,,,103802,0,978,60,460,204,159,95,6.13,47.03,20.86,16.26,9.71
36061019100,Census Tract 191,"Census Tract 191, New York County, New York",ny,140,0,ACSSF,5981,,,,,36,61,,,,19100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061019100,,,223476,175654,2701,226,1116,603,591,165,8.37,41.32,22.33,21.88,6.11
36061019200,Census Tract 192,"Census Tract 192, New York County, New York",ny,140,0,ACSSF,5982,,,,,36,61,,,,19200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061019200,,,189854,175645,1372,75,573,315,263,146,5.47,41.76,22.96,19.17,10.64
36061019300,Census Tract 193,"Census Tract 193, New York County, New York",ny,140,0,ACSSF,5983,,,,,36,61,,,,19300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36061019300,,,175716,0,3318,187,1060,856,842,373,5.64,31.95,25.8,25.38,11.24
